symbol,name,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct
BTC,Bitcoin,78450.0,1575397838560,36781750953,-0.81
ETH,Ethereum,2485.04,303249150593,12011472352,-0.16
USDT,Tether,0.999843,183430337696,58639922287,0.0
BNB,BNB,752.2,100164003621,1231997747,1.74
XRP,XRP,1.42,88919059551,2448824243,1.5
USDC,USDC,1.0,74508955904,15445807848,0.01
SOL,Solana,103.4,60618468600,3042864750,-0.43
TRX,TRON,0.338934,32175223013,380403899,1.4
FIGR_HELOC,Figure Heloc,1.035,23073002856,34092551,0.0
ZEC,Zcash,1178.78,19947080041,949775606,3.47
HYPE,Hyperliquid,84.97,18900143115,1049725753,-0.18
DOGE,Dogecoin,0.090025,14030007237,899331131,-0.6
RAIN,Rain,0.0162051,11492597426,19813109,-0.59
USDS,USDS,1.0,9845882238,186213482,0.02
WBT,WhiteBIT Coin,81.25,9580777720,118619252,6.23
XMR,Monero,504.39,9483427729,125479563,-2.8
LINK,Chainlink,12.53,9375345748,3789880895,-1.6
LEO,LEO Token,9.2,8464281682,181656,-0.08
ADA,Cardano,0.219798,8246231314,572553147,-0.32
XLM,Stellar,0.187895,6539569230,196622463,-3.1
